Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29,24.330330217885088,24.330330217885088,24.209283798890635,24.313037872314453,1003200,0.0,0.0,0.0
1993-02-01,24.33032511452497,24.485956192016605,24.33032511452497,24.4859561920166,480500,0.0,0.0,0.0
1993-02-02,24.4686590911134,24.55512078401486,24.416782075372524,24.53782844543457,201300,0.0,0.0,0.0
1993-02-03,24.572417877708016,24.814510664680512,24.55512553578141,24.797218322753903,529400,0.0,0.0,0.0
1993-02-04,24.88367430633969,24.95284365812937,24.606996899180945,24.90096664428711,531500,0.0,0.0,0.0
1993-02-05,24.883665084838867,24.93554207945632,24.74532643252565,24.883665084838867,492100,0.0,0.0,0.0
1993-02-08,24.883665084838867,24.970126742534624,24.849080421760565,24.883665084838867,596100,0.0,0.0,0.0
1993-02-09,24.79721609640155,24.79721609640155,24.658877373409076,24.71075439453125,122100,0.0,0.0,0.0
1993-02-10,24.71075566476413,24.762632688553,24.641586299712305,24.74534034729004,379600,0.0,0.0,0.0
1993-02-11,24.779930410531037,24.970146205727016,24.779930410531037,24.86639213562012,19500,0.0,0.0,0.0
1993-02-12,24.83181293276364,24.83181293276364,24.676181793212887,24.67618179321289,42500,0.0,0.0,0.0
1993-02-16,24.607004896502627,24.607004896502627,24.01906521520882,24.05364990234375,374800,0.0,0.0,0.0
1993-02-17,24.0536597670411,24.08824446835964,23.94990566308549,24.03636741638184,210900,0.0,0.0,0.0
1993-02-18,24.31302798266373,24.31302798266373,23.690503795340906,24.019058227539062,378100,0.0,0.0,0.0
1993-02-19,24.01906235556692,24.10552406311035,23.98447767254954,24.10552406311035,34900,0.0,0.0,0.0
1993-02-22,24.17470136619279,24.22657840775114,24.105531977448315,24.191993713378903,513600,0.0,0.0,0.0
1993-02-23,24.2611615135946,24.278453859648483,24.053653360948037,24.174699783325195,373700,0.0,0.0,0.0
1993-02-24,24.191986378976857,24.485956192016605,24.191986378976857,24.4859561920166,26300,0.0,0.0,0.0
