Date,Close,Volume,Open,High,Low
2025-09-19,663.7,97945620,662.33,664.55,660.37
2025-09-18,662.26,90459240,661.89,664.89,660.27
2025-09-17,659.18,101952200,660.01,661.72,654.3
2025-09-16,660,61168950,661.47,661.78,659.21
2025-09-15,660.91,63772410,659.64,661.04,659.34
2025-09-12,657.41,72780140,657.6,659.11,656.9
2025-09-11,657.63,69934360,654.18,658.33,653.59
2025-09-10,652.21,78034530,653.62,654.55,650.63
2025-09-09,650.33,66133860,648.97,650.86,647.22
2025-09-08,648.83,63133100,648.62,649.84,647.23
2025-09-05,647.24,85178940,651.48,652.21,643.33
2025-09-04,649.12,65219230,644.42,649.15,643.51
2025-09-03,643.74,70820900,642.67,644.21,640.46
2025-09-02,640.27,81983550,637.5,640.49,634.92
2025-08-29,645.05,74522190,647.47,647.84,643.14
2025-08-28,648.92,61519460,647.24,649.48,645.34
2025-08-27,646.63,48341070,644.57,647.37,644.42
2025-08-26,645.16,51581570,642.2,645.51,641.57
2025-08-25,642.47,51274330,644.04,645.29,642.35
2025-08-22,645.31,84083210,637.76,646.5,637.25
2025-08-21,635.55,54805780,636.28,637.97,633.81
2025-08-20,638.11,88890300,639.4,639.66,632.95
2025-08-19,639.81,69750730,643.12,644.105,638.48
2025-08-18,643.3,43804910,642.86,644,642.18
2025-08-15,643.44,68592510,645.99,646.09,642.5153
2025-08-14,644.95,59327470,642.79,645.62,642.34
2025-08-13,644.89,60092790,644.91,646.19,642.68
2025-08-12,642.69,64821800,638.29,642.85,636.79
2025-08-11,635.92,58742300,637.46,638.95,634.66
2025-08-08,637.18,64051630,634.06,637.645,633.74
2025-08-07,632.25,74205790,636.24,636.98,629.11
2025-08-06,632.78,64357530,629.05,633.44,628.13
2025-08-05,627.97,68051400,631.79,632.6052,627.04
2025-08-04,631.17,73218020,625.67,631.215,625.58
2025-08-01,621.72,140103600,626.3,626.34,619.29
2025-07-31,632.08,103385200,639.455,639.85,630.765
2025-07-30,634.46,80418850,635.92,637.68,631.54
2025-07-29,635.26,60556280,638.35,638.67,634.335
2025-07-28,636.94,54917100,637.48,638.04,635.54
2025-07-25,637.1,56865360,635.09,637.5799,634.84
2025-07-24,634.42,71307130,634.6,636.15,633.99
2025-07-23,634.21,70511040,631.55,634.21,629.73
2025-07-22,628.86,60046290,629.1,629.73,626.19
2025-07-21,628.77,63374980,628.77,631.54,628.34
2025-07-18,627.58,65621650,629.3,629.47,626.46
2025-07-17,628.04,68885680,624.4,628.4048,624.18
2025-07-16,624.22,88987510,623.74,624.73,618.05
2025-07-15,622.14,74317260,627.52,627.86,622.06
2025-07-14,624.81,51898520,623.16,625.1581,621.7999
2025-07-11,623.62,63670230,622.74,624.86,621.53
2025-07-10,625.82,57528960,624.2,626.8701,623.01
2025-07-09,624.06,66113330,622.77,624.72,620.9105
2025-07-08,620.34,59024590,621.35,622.11,619.52
2025-07-07,620.68,74814510,623.36,624.03,617.87
2025-07-03,625.34,51065790,622.45,626.28,622.43
2025-07-02,620.45,66510370,617.24,620.49,616.61
2025-07-01,617.65,70030140,616.36,618.83,615.52
2025-06-30,617.85,92502540,617.38,619.22,615.04
2025-06-27,614.91,86258400,612.88,616.39,610.83
2025-06-26,611.87,78548360,608.99,612.31,608.37
2025-06-25,607.12,62114770,607.91,608.61,605.54
2025-06-24,606.78,67735290,604.33,607.8499,603.41
2025-06-23,600.15,87426040,595.04,600.54,591.89
2025-06-20,594.28,94051370,598.38,599.46,592.86
2025-06-18,597.44,76605030,598.44,601.22,596.47
2025-06-17,597.53,82209370,600.21,601.75,596.76
2025-06-16,602.68,79984130,600.4,604.45,600.22
2025-06-13,597,89506000,598.5,601.85,595.48
2025-06-12,603.75,64129000,600.01,603.75,599.52
2025-06-11,601.36,73658230,604.19,605.06,599.27
2025-06-10,603.08,66246970,600.22,603.47,599.09
2025-06-09,599.68,53016420,599.72,601.25,598.49
2025-06-06,599.14,66588740,598.66,600.83,596.86
2025-06-05,593.05,92436400,597.63,599,591.05
2025-06-04,595.93,57314200,596.96,597.95,595.49
2025-06-03,596.09,63606200,592.34,597.08,591.85
2025-06-02,592.71,61630500,587.76,592.79,585.06
2025-05-30,589.39,90601240,588.93,591.1299,583.235
2025-05-29,590.05,70073760,593.06,593.2,586.07
2025-05-28,587.73,68445510,591.56,592.7688,586.985
2025-05-27,591.15,72588480,586.07,591.31,578.43
2025-05-23,579.11,76029050,575.98,581.8101,575.6
2025-05-22,583.09,70860420,582.66,586.62,581.405
2025-05-21,582.86,95197660,588.44,592.58,581.82
2025-05-20,592.85,60614490,593.09,594.05,589.6
